core,mid_m,member_top,oilgpt
BF1,89.74836000000002,-0,1.5
BF1,90.12936000000002,-0,3.7
BF1,90.49512000000001,-0,4.1
BF1,90.99803999999997,-0,32.3
BF1,91.47048000000001,-0,2.4
BF1,92.18676000000002,-0,0.4
BF1,93.23832000000002,-0,0.9
BF1,93.90888000000001,-0,3.9
BF1,94.19843999999998,-0,27.7
BF1,94.42703999999998,-0,2
BF1,94.76232000000002,-0,1e-5
BF1,95.41764,-0,1e-5
BF1,96.25584,-0,1e-5
BF1,96.75876000000002,-0,0
BF1,97.13976000000002,-0,0.8
BF1,97.90176,-0,1
BF1,98.63328000000001,-0,0.9
BF1,99.42576,-0,1e-5
BF1,99.95916,-0,0
BF1,100.18776,-0,0.8
BF1,100.55352000000002,-0,1.3
BF1,100.85832000000002,-0,1.8
BF1,101.23932000000002,-0,1.7
BF1,101.55936,-0,4.1
BF1,101.78796,-0,31.4
BF1,102.15372000000002,-0,1
BF1,102.53472000000002,-0,0.3
BF1,102.76332000000002,-0,0
BF1,102.99192000000002,-0,2.1
BF1,103.29672000000002,-0,2.5
BF1,103.64724000000001,-0,1.5
BF1,104.05872000000002,-0,23.6
BF1,104.40923999999998,-0,13.3
BF1,104.75976,-0,1.8
BF1,105.17124000000001,-0,1.4
BF1,105.52176,-0,2.6
BF1,105.82656,-0,18.8
BF1,106.13136,-0,17.7
BF1,106.43616,-0,10
BF1,106.74096,-0,6.2
BF1,107.04576,-0,1.8
BF1,107.35056,-0,1.4
BF1,107.73156,-0,1
BF1,108.17352000000002,-0,3.6
BF1,108.53927999999999,-0,11.6
BF1,108.99647999999999,-0,1e-5
BF1,109.60607999999999,-0,1e-5
BF1,110.07852000000003,-0,1e-5
BF1,110.85576,-0,1e-5
BF1,112.07496,-0,1e-5
BF1,113.14176,-0,1e-5
BF1,113.87328,-0,1e-5
BF1,114.33048,-0,1e-5
BF1,114.71148,-0,1e-5
BF1,115.13819999999998,-0,1.9
BF1,115.51919999999998,-0,8.9
BF1,115.88496,-0,1e-5
BF1,116.57076,-0,1e-5
BF1,117.51563999999999,-0,1e-5
BF1,118.59768,-0,1e-5
BF1,119.49683999999999,-0,1e-5
BF1,120.06072,-0,1e-5
BF1,120.56364000000002,-0,0.2
BF1,120.82272,-0,0
BF1,121.08179999999999,-0,1.7
BF1,121.50852000000003,-0,1
BF1,121.88952,-0,1.1
BF1,122.28576000000004,-0,13.3
BF1,122.65152,-0,9.7
BF1,122.95632,-0,8.3
BF1,123.26112,-0,8
BF1,123.58116000000001,-0,7.7
BF1,123.90120000000002,-0,4.2
BF1,124.26695999999998,-0,3
BF1,124.64796000000001,-0,1
BF1,124.99848000000003,-0,1.2
BF1,125.37948,-0,1.3
BF1,125.77572000000004,-0,1.9
BF1,126.12624,-0,3.9
BF1,126.44628000000006,-0,26.3
BF1,126.79680000000002,-0,21.1
BF1,127.10160000000002,-0,7.6
BF1,127.36068000000006,-0,1.2
BF1,127.69596000000001,-0,1.1
BF1,128.10744,-0,0.8
